,id,pw,pwcheck,name,birth,email,gender
0,1,dummy1,dummy1,dummy1,2008-11-22,dummy1@gmail.com,食失
1,2,dummy2,dummy2,dummy2,1991-11-10,dummy2@gmail.com,害失
2,3,dummy3,dummy3,dummy3,2008-06-27,dummy3@gmail.com,害失
3,4,dummy4,dummy4,dummy4,1985-01-28,dummy4@gmail.com,害失
4,5,dummy5,dummy5,dummy5,1990-05-14,dummy5@gmail.com,害失
5,6,dummy6,dummy6,dummy6,2003-02-10,dummy6@gmail.com,食失
6,7,dummy7,dummy7,dummy7,2006-08-16,dummy7@gmail.com,食失
7,8,dummy8,dummy8,dummy8,1973-03-01,dummy8@gmail.com,害失
8,9,dummy9,dummy9,dummy9,2010-09-08,dummy9@gmail.com,食失
9,10,dummy10,dummy10,dummy10,2003-11-22,dummy10@gmail.com,食失
10,11,dummy11,dummy11,dummy11,1955-02-07,dummy11@gmail.com,食失
11,12,dummy12,dummy12,dummy12,2009-06-05,dummy12@gmail.com,食失
12,13,dummy13,dummy13,dummy13,1959-01-13,dummy13@gmail.com,害失
13,14,dummy14,dummy14,dummy14,1950-06-06,dummy14@gmail.com,害失
14,15,dummy15,dummy15,dummy15,1999-12-04,dummy15@gmail.com,食失
15,16,dummy16,dummy16,dummy16,1984-11-02,dummy16@gmail.com,害失
16,17,dummy17,dummy17,dummy17,2008-03-10,dummy17@gmail.com,食失
17,18,dummy18,dummy18,dummy18,1956-10-28,dummy18@gmail.com,食失
18,19,dummy19,dummy19,dummy19,1970-01-29,dummy19@gmail.com,害失
19,20,dummy20,dummy20,dummy20,1996-06-01,dummy20@gmail.com,害失
20,21,dummy21,dummy21,dummy21,1987-12-07,dummy21@gmail.com,害失
21,22,dummy22,dummy22,dummy22,1998-02-01,dummy22@gmail.com,食失
22,23,dummy23,dummy23,dummy23,1975-12-20,dummy23@gmail.com,食失
23,24,dummy24,dummy24,dummy24,1961-09-17,dummy24@gmail.com,食失
24,25,dummy25,dummy25,dummy25,1990-11-25,dummy25@gmail.com,害失
25,26,dummy26,dummy26,dummy26,1964-01-26,dummy26@gmail.com,食失
26,27,dummy27,dummy27,dummy27,1955-06-11,dummy27@gmail.com,食失
27,28,dummy28,dummy28,dummy28,1974-05-11,dummy28@gmail.com,食失
28,29,dummy29,dummy29,dummy29,1950-05-02,dummy29@gmail.com,害失
29,30,dummy30,dummy30,dummy30,1958-11-08,dummy30@gmail.com,害失
30,31,dummy31,dummy31,dummy31,1975-05-11,dummy31@gmail.com,食失
31,32,dummy32,dummy32,dummy32,2005-10-30,dummy32@gmail.com,食失
32,33,dummy33,dummy33,dummy33,1988-04-30,dummy33@gmail.com,食失
33,34,dummy34,dummy34,dummy34,1952-09-18,dummy34@gmail.com,害失
34,35,dummy35,dummy35,dummy35,1955-01-29,dummy35@gmail.com,害失
35,36,dummy36,dummy36,dummy36,1983-07-03,dummy36@gmail.com,害失
36,37,dummy37,dummy37,dummy37,1996-06-25,dummy37@gmail.com,害失
37,38,dummy38,dummy38,dummy38,1950-01-04,dummy38@gmail.com,害失
38,39,dummy39,dummy39,dummy39,2000-05-30,dummy39@gmail.com,食失
39,40,dummy40,dummy40,dummy40,1970-03-08,dummy40@gmail.com,害失
40,41,dummy41,dummy41,dummy41,1969-05-12,dummy41@gmail.com,食失
41,42,dummy42,dummy42,dummy42,2001-12-14,dummy42@gmail.com,害失
42,43,dummy43,dummy43,dummy43,1951-08-01,dummy43@gmail.com,害失
43,44,dummy44,dummy44,dummy44,1963-09-08,dummy44@gmail.com,害失
44,45,dummy45,dummy45,dummy45,1951-01-25,dummy45@gmail.com,害失
45,46,dummy46,dummy46,dummy46,1997-12-13,dummy46@gmail.com,害失
46,47,dummy47,dummy47,dummy47,1977-07-16,dummy47@gmail.com,食失
47,48,dummy48,dummy48,dummy48,1990-12-17,dummy48@gmail.com,害失
48,49,dummy49,dummy49,dummy49,1975-05-03,dummy49@gmail.com,食失
49,50,dummy50,dummy50,dummy50,1996-12-27,dummy50@gmail.com,食失
50,51,dummy51,dummy51,dummy51,1953-06-19,dummy51@gmail.com,食失
51,52,dummy52,dummy52,dummy52,2004-05-20,dummy52@gmail.com,害失
52,53,dummy53,dummy53,dummy53,1998-07-02,dummy53@gmail.com,害失
53,54,dummy54,dummy54,dummy54,1960-02-01,dummy54@gmail.com,食失
54,55,dummy55,dummy55,dummy55,1993-10-02,dummy55@gmail.com,害失
55,56,dummy56,dummy56,dummy56,1995-09-30,dummy56@gmail.com,食失
56,57,dummy57,dummy57,dummy57,1987-10-06,dummy57@gmail.com,食失
57,58,dummy58,dummy58,dummy58,1965-03-16,dummy58@gmail.com,食失
58,59,dummy59,dummy59,dummy59,1997-03-31,dummy59@gmail.com,害失
59,60,dummy60,dummy60,dummy60,1953-05-22,dummy60@gmail.com,食失
60,61,dummy61,dummy61,dummy61,1988-05-20,dummy61@gmail.com,害失
61,62,dummy62,dummy62,dummy62,1959-06-20,dummy62@gmail.com,害失
62,63,dummy63,dummy63,dummy63,1965-06-16,dummy63@gmail.com,食失
63,64,dummy64,dummy64,dummy64,2005-04-24,dummy64@gmail.com,害失
64,65,dummy65,dummy65,dummy65,1972-04-10,dummy65@gmail.com,食失
65,66,dummy66,dummy66,dummy66,1971-02-10,dummy66@gmail.com,害失
66,67,dummy67,dummy67,dummy67,1956-03-26,dummy67@gmail.com,食失
67,68,dummy68,dummy68,dummy68,2008-06-16,dummy68@gmail.com,食失
68,69,dummy69,dummy69,dummy69,1953-08-09,dummy69@gmail.com,害失
69,70,dummy70,dummy70,dummy70,1968-03-09,dummy70@gmail.com,害失
70,71,dummy71,dummy71,dummy71,1962-12-24,dummy71@gmail.com,害失
71,72,dummy72,dummy72,dummy72,2003-10-21,dummy72@gmail.com,害失
72,73,dummy73,dummy73,dummy73,1990-08-21,dummy73@gmail.com,害失
73,74,dummy74,dummy74,dummy74,1959-04-09,dummy74@gmail.com,害失
74,75,dummy75,dummy75,dummy75,1950-06-30,dummy75@gmail.com,食失
75,76,dummy76,dummy76,dummy76,1973-06-24,dummy76@gmail.com,害失
76,77,dummy77,dummy77,dummy77,1968-06-15,dummy77@gmail.com,害失
77,78,dummy78,dummy78,dummy78,1964-08-29,dummy78@gmail.com,食失
78,79,dummy79,dummy79,dummy79,1996-03-17,dummy79@gmail.com,害失
79,80,dummy80,dummy80,dummy80,1955-01-15,dummy80@gmail.com,害失
80,81,dummy81,dummy81,dummy81,2003-07-26,dummy81@gmail.com,害失
81,82,dummy82,dummy82,dummy82,1959-11-29,dummy82@gmail.com,害失
82,83,dummy83,dummy83,dummy83,2010-02-27,dummy83@gmail.com,食失
